,is_weekend,hour,hex_6,unique_drivers,util,cdr
1123,0,15,8611aa4dfffffff,457,0.5141472868217054,0.967741935483871
1124,0,15,8611aa4e7ffffff,233,0.5373287671232877,1.0
1125,0,15,8611aa4efffffff,815,0.5074525745257452,0.9682539682539683
1126,0,15,8611aa4f7ffffff,82,0.5314861460957179,1.0
1127,0,15,8611aa507ffffff,8,0.03305785123966942,0.0
1128,0,15,8611aa50fffffff,9,0.061224489795918366,1.0
1129,0,15,8611aa607ffffff,833,0.48722627737226276,1.0
1130,0,15,8611aa617ffffff,899,0.528397212543554,0.9583333333333334
1131,0,15,8611aa61fffffff,585,0.5229059365681756,0.9285714285714286
1132,0,15,8611aa627ffffff,843,0.5295832118915768,0.9887640449438202
1133,0,15,8611aa62fffffff,555,0.4797432811873245,1.0
1134,0,15,8611aa637ffffff,1081,0.6000792707094729,0.9759036144578314
1135,0,15,8611aa677ffffff,71,0.515625,1.0
1136,0,15,8611aa687ffffff,767,0.4645025072578517,0.9375
1137,0,15,8611aa68fffffff,113,0.5807860262008734,0.7272727272727273
1138,0,15,8611aa697ffffff,440,0.39133205863607395,1.0
1139,0,15,8611aa6a7ffffff,1000,0.4837226015091628,0.9101123595505618
1140,0,15,8611aa6afffffff,651,0.5194805194805194,0.9574468085106383
1141,0,15,8611aa6b7ffffff,521,0.44713812677388837,0.9358974358974359
1142,0,15,8611aa6dfffffff,66,0.34513274336283184,1.0
1143,0,15,8611aa707ffffff,772,0.5236646685157019,0.9509803921568627
1144,0,15,8611aa70fffffff,740,0.5235901216365647,0.9672131147540983
1145,0,15,8611aa717ffffff,1140,0.564006321612011,0.9693251533742331
1146,0,15,8611aa71fffffff,1182,0.557773779815449,0.9436619718309859
1147,0,15,8611aa727ffffff,818,0.5375592712752683,0.9545454545454546
1148,0,15,8611aa72fffffff,709,0.4975970425138632,0.9333333333333333
1149,0,15,8611aa737ffffff,719,0.5698430922311519,0.9375
1150,0,15,8611aa74fffffff,17,0.5987261146496815,1.0
1151,0,15,8611aa757ffffff,445,0.49033816425120774,1.0
1152,0,15,8611aa767ffffff,68,0.4444444444444444,1.0
1153,0,15,8611aa787ffffff,1190,0.5763260329221966,0.9666666666666667
1154,0,15,8611aa78fffffff,1497,0.5428550180344327,0.9430051813471503
1155,0,15,8611aa797ffffff,786,0.5015913861989572,0.9067796610169492
1156,0,15,8611aa79fffffff,837,0.4854337850816348,0.926829268292683
1157,0,15,8611aa7a7ffffff,979,0.6007805463824677,0.9367088607594937
1158,0,15,8611aa7afffffff,1514,0.6271864639304905,0.933579335793358
1159,0,15,8611aa7b7ffffff,718,0.588830360349575,0.945
1160,0,16,861181a57ffffff,7,0.6890756302521008,0.6666666666666666
1161,0,16,861181a6fffffff,135,0.4429065743944637,1.0
1162,0,16,861181b0fffffff,106,0.3170731707317073,1.0
1163,0,16,861181b2fffffff,85,0.4198071866783523,1.0
1164,0,16,861181b47ffffff,490,0.43992248062015504,1.0
1165,0,16,861181b4fffffff,436,0.47720364741641336,0.8333333333333334
1166,0,16,861181b67ffffff,706,0.4669811320754717,0.9428571428571428
1167,0,16,861181b6fffffff,404,0.4503939305515028,0.8461538461538461
1168,0,16,861181b77ffffff,235,0.47317073170731705,0.8333333333333334
1169,0,16,86118cd27ffffff,16,0.4012345679012346,1.0
1170,0,16,8611aa09fffffff,140,0.5475152571926766,1.0
1171,0,16,8611aa197ffffff,76,0.4557416267942584,1.0
1172,0,16,8611aa447ffffff,484,0.53015332197615,1.0
1173,0,16,8611aa44fffffff,436,0.545269237302531,0.9423076923076923
1174,0,16,8611aa457ffffff,135,0.5146987951807229,1.0
