client.c.cuuid.claim_uuid,client.c.c.req_cargo_lcv_l_lcy_cost,client.c.c.req_cargo_lcv_m_lcy_cost,client.c.c.req_cargo_one_loader_lcy_cost,client.c.c.req_cargo_two_loaders_lcy_cost,performer.c.c.req_cargo_lcv_l_lcy_cost,performer.c.c.req_cargo_lcv_m_lcy_cost,performer.c.c.req_cargo_one_loader_lcy_cost,performer.c.c.req_cargo_two_loaders_lcy_cost
002a23c3d21c44129ddce5a319a95eae,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0
002aa717c3bb4da8a3290d8a42e24684,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0
002b86c6a0734312baa8f75892de62be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002ba43d36ca4d4e94b5a51956672430,0.0,0.0,0.0,0.0,0.0,0.0,395.0,0.0
002bb1a2f9b046f48d6414bcbbf66eb5,0.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0
002d3521f3e447d98735ec5c267fee92,0.0,499.0,0.0,0.0,0.0,378.0,0.0,0.0
002ea91e0fd44078a2088d23353f1549,0.0,0.0,530.0,0.0,0.0,0.0,410.0,0.0
002ed784aa254407823fe6538f2d169e,0.0,0.0,0.0,0.0,0.0,0.0,395.0,0.0
002fab142c6647d18feae6942a50cddb,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0
002fab2ddd4c40b0ad074cc848ea167d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00305ab44d084ed2b8bdc51c393233b8,0.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0
0030673bfc8b40289a81e42caf9bebec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0032ad122e1d4db58d06ddebdc7d49ad,582.0,0.0,0.0,0.0,3923.0,0.0,0.0,1670.0
0032edb9ad444bdabc1470d82a29c6a0,0.0,236.0,0.0,0.0,0.0,174.0,0.0,0.0
0033f2d63360486aba9a9c6a1e109b74,0.0,89.0,423.0,0.0,0.0,68.0,427.0,0.0
00343d630c8e4e679fdeb8ebca98ddaa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003485843d1e420ca63a7b5393679769,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0
003697da7eb54f8595f295a10e557768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0036b09b12aa45a1ab89222c8380d75d,0.0,1224.0,0.0,0.0,0.0,945.0,0.0,0.0
0036b825ddff405cb135e53d38295fc8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00375aa5c5514cf8bf65ea1172b0c00b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0037b2ce41c646ecad66dcc031f44b28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0037ecda0c354701a080f275f7a41a12,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
003882c86430495a93e25edba17f2819,0.0,255.0,0.0,1059.0,0.0,183.0,0.0,759.0
0039d143641d46fea462771579a00efd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0039dbc9da324ed6ae0e37129f7d35e9,0.0,365.0,500.0,0.0,0.0,277.0,380.0,0.0
003a3c602c844dd99877e0b87b4fa2bd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003a3cac0416434eafc34d6cced321c6,0.0,0.0,0.0,0.0,0.0,705.0,0.0,0.0
003a53b5364a482c858ff1bf8e2a79b6,0.0,818.0,0.0,0.0,0.0,614.0,0.0,0.0
003a791140194bc880d14c9f8f645a0a,3173.0,0.0,0.0,0.0,2394.0,0.0,0.0,0.0
003bb22577674c2a8d36b2aef033d064,0.0,139.0,0.0,0.0,0.0,104.0,0.0,0.0
003bc488b5a34904804b78a404e133fc,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0
003c4ce88faa4fa09347ace0854fe53b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003d34ccc61b42998425bdb86b17027a,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
003de7119837491c81d7955fcf2188bc,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
003e20bd6ca14c3ca0d161d872af90d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0
003f09ffeb8745e8bedcedbd64611137,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0
003f35bcb339442390af40f1054cda81,0.0,212.0,0.0,0.0,0.0,168.0,0.0,0.0
004168e40c844c2caee26c452a3343b2,0.0,0.0,500.0,0.0,0.0,0.0,395.0,0.0
0041ba8cd5fb40b8a65e25b16fe61a54,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0
00420fde5eb94f24a1644720c47d6e57,0.0,275.0,0.0,0.0,0.0,210.0,0.0,0.0
0042b273e5d84e629310107ba652d4ee,0.0,0.0,423.0,0.0,0.0,0.0,328.0,0.0
0042ba61f5dd4156a9d512f000ffe460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0042ee9f48e447729c3aa0f338f4680a,0.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0
0043af7cad6140c19de3372e9c119074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0044173ebaf54dfda510c9ab288d8bde,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0
00448955e5d747bb9ee8f6274d8e8c2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00448cbcd91f451e93e4b0e7409950c2,0.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0
0044bbf9698e4f3bbe47448f962a415c,0.0,0.0,500.0,0.0,0.0,0.0,380.0,0.0
00453fe483354f69847a7d784f1949eb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0045547391374931b9fe629afc890a6e,0.0,0.0,0.0,0.0,0.0,264.0,380.0,0.0
00458aa10d1d4cc4b80f72cd4dcf2c11,1337.0,0.0,0.0,0.0,978.0,0.0,0.0,0.0
0045a13b7e31414287cab3c64bcb8e49,0.0,330.0,0.0,0.0,0.0,236.0,0.0,0.0
0045b5a17b584bf08f0721ab1e72cc62,0.0,0.0,0.0,0.0,0.0,410.0,0.0,0.0
00467fec39584c34925f156bfcef8e32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00473785ed6b4fba88940157f4451ff7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0047aeaeeb0f48d793ba15ed096a4876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004820e5683b4f948f77da21a5088f67,0.0,0.0,0.0,0.0,681.0,0.0,0.0,0.0
0048288392684eeeb911e31806f4a3a6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00488b3af6ae4df4b1aec8ad526c01a6,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0
0048acac80fb4b36b255d6ed42d3ed78,0.0,389.0,0.0,0.0,0.0,278.0,0.0,0.0
0048fd15d32241d4a2f8ea7865303b1f,0.0,0.0,500.0,0.0,0.0,0.0,380.0,0.0
0049045bff224c1f997d18f10c5ee333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0049054f4be1496ea11c1437d8be2ca9,1000.0,0.0,0.0,0.0,2449.0,0.0,0.0,759.0
00495cc65778499fb9e15db95d54c0ef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0049d61e5b4a445abcfd1253b03c0e95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0049e915272b407686df686122b1e9c2,0.0,555.0,0.0,0.0,0.0,431.0,0.0,0.0
004a22b846534a98ac16fa1be3ab7332,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0
004a8b88380f4c5aad4296f5348172d4,0.0,548.0,0.0,0.0,0.0,413.0,0.0,0.0
004a9749be7340eab0fb4fc60a769000,0.0,139.0,320.0,0.0,0.0,143.0,266.0,0.0
004c50936bda4109bf5437f123bb1659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004c6688629244a78db4f55ce3115435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004cd34e431245d78720a3237918be28,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0
004d725cec624a1c8de1acd15174c6fc,0.0,164.0,0.0,0.0,0.0,123.0,0.0,0.0
004da1c5674d42b7887f86783ee29868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004eb88040dd4792a68f78629b6367ac,897.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0
004fa03a134d491391a1715e32dca826,0.0,0.0,0.0,0.0,458.0,0.0,0.0,759.0
0050a1e6cd8a482da4bc8f5739d403a5,0.0,0.0,0.0,0.0,0.0,346.0,0.0,0.0
0050aafe221845ab86b2f9c35d85ccd1,0.0,0.0,0.0,0.0,0.0,362.0,0.0,0.0
00516ddeccbc4af4835d90f1fdc2044b,0.0,268.0,0.0,0.0,0.0,203.0,0.0,0.0
0051786087d4472ba11faf9552b408f2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0051b051ce3846c8aa1c165b08502631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00520f1c4f76424f8f77f40dffad2be5,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0
00528af01685438dad23ddcf3c0d8640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0053ce11db644237bfb1171d0ce5ed19,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0
0053f10454394ab3a29ea972a4c64fc0,0.0,820.0,799.0,0.0,0.0,622.0,607.0,0.0
0054430c7a574fde97c80a4eb53944c0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0054cfaddf6c480abcf4660df47c3df1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0054fa9259c242c18f07b1aea3af81a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00558db154534726bcd72ff375925095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00563e8c86d2498ea88849efc3545528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0056403ac24341bca1d4714ac55485e1,0.0,323.0,0.0,0.0,0.0,244.0,0.0,0.0
005697b5f4da417bba9b8159885c66a0,0.0,0.0,500.0,0.0,0.0,0.0,380.0,0.0
0056ccbbad8c42e8b05a2f2bd22debc8,0.0,0.0,500.0,0.0,0.0,0.0,380.0,0.0
0056f1a1c570464f80c53c8d7f7c7782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0057950a69fb44fd9b06ab6c9f427762,0.0,0.0,0.0,0.0,0.0,0.0,263.0,0.0
00579e37772f4b989fc116f7f338e7d1,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0
0058735ee5754ac39ac29c9245f99010,0.0,0.0,500.0,0.0,0.0,0.0,380.0,0.0
0058f5a69a02440e86b79307d027ee46,0.0,482.0,0.0,0.0,0.0,362.0,0.0,0.0
00598ea9d8a043789b1c7cca1181e537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
005996851d4e4cfcbf4ed6ad093435c8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0059e6676ea5488799a5ce57691d8a71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
005a242489b947019cee69f5d665818a,172.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0
005a40a535854af2bb7289d385108864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
005bba0c17a041d3a15f350a9be76351,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0
005bdfa0bcb147d68cbc8ad7c5f8fa3e,0.0,328.0,0.0,999.0,0.0,191.0,0.0,759.0
005c384d85264fe79ede023a59ead6ed,0.0,443.0,633.0,0.0,0.0,371.0,500.0,0.0
005c3fe713fc42f0a0e662e0a1ada980,0.0,0.0,0.0,0.0,481.0,0.0,0.0,0.0
